recording,subject,trial,timestamp,true_target,pred_ridge,pred_random_forest,pred_xgboost,pred_baseline_global_mean,pred_baseline_subject_mean,pred_baseline_ceiling,moving_avg,slope_short,slope_medium,decline_persistence
08M_1,8,1,6556.0,97.35720557238773,78.91327388616493,85.06672537869868,90.55543518066406,68.1300448600817,68.15116839562234,100.0,83.30720806121826,6.534162139892482,1.2183993203299008,0
08M_1,8,1,6564.0,97.68709682923834,93.02947431905204,91.54076653623396,90.16293334960938,68.1300448600817,68.15116839562234,100.0,85.25324153900146,1.5557792663576115,0.8562230609711614,1
08M_1,8,1,6572.0,97.97580885541956,81.23798982025059,85.87915513904024,85.83684539794922,68.1300448600817,68.15116839562234,100.0,85.41936302185059,-0.5113327026367716,0.8249958583287387,2
08M_1,8,1,6580.0,98.2284819176202,88.6110181993491,80.85686605773849,83.62676239013672,68.1300448600817,68.15116839562234,100.0,84.80533123016357,-2.5112106323243863,1.0098610832578927,3
08M_1,8,1,6588.0,98.44961464009909,88.3001607411463,87.99964656692042,84.76852416992188,68.1300448600817,68.15116839562234,100.0,84.70286083221436,-1.8393310546874577,1.0906819843110187,0
08M_1,8,1,6596.0,98.64314409877991,76.14477241314898,78.57503747996411,75.02742004394531,68.1300448600817,68.15116839562234,100.0,85.42671298980713,-3.1286514282224376,-1.3727038247243895,1
08M_1,8,1,6604.0,98.8125159174662,90.2482343401199,81.4360102712901,86.95231628417969,68.1300448600817,68.15116839562234,100.0,85.54258632659912,0.02355575561556404,-1.1814327239990259,0
08M_1,8,1,6612.0,98.96074561417822,75.16415960144714,82.10684104286692,80.20391082763672,68.1300448600817,68.15116839562234,100.0,84.64176845550537,-0.17689437866233493,-1.4261936914353681,1
08M_1,8,1,6620.0,99.09047228983042,62.43274740776139,79.51263961243886,81.84944152832031,68.1300448600817,68.15116839562234,100.0,83.5535192489624,1.371765899658033,-1.025280452909913,0
08M_1,8,1,6628.0,99.20400561512936,72.36417325291188,88.900059006047,87.2193603515625,68.1300448600817,68.15116839562234,100.0,83.18557262420654,0.24466629028287065,-0.011642183576314217,0
08M_1,8,1,6636.0,99.3033669522532,64.0202375673229,73.45259957515279,72.99105834960938,68.1300448600817,68.15116839562234,100.0,81.57984924316406,-1.626863861083699,-0.5771200997488728,1
08M_1,8,1,6644.0,99.39032534344844,59.42330016903918,62.21871270324283,64.25839233398438,68.1300448600817,68.15116839562234,100.0,79.15880298614502,-6.700144958495817,-1.8012627192905237,2
08M_1,8,1,6652.0,99.4664290072894,77.34836381448663,83.26063056159151,76.46846771240234,68.1300448600817,68.15116839562234,100.0,78.12129592895508,-4.098534393309955,-1.4244157700311042,0
08M_1,8,1,6660.0,99.53303290336444,84.59230961974151,80.21538435875495,83.9207534790039,68.1300448600817,68.15116839562234,100.0,79.2329626083374,4.499916076659666,-1.272614342825766,0
08M_1,8,1,6668.0,99.5913228561536,69.75485394801568,82.06838096469794,84.7293472290039,68.1300448600817,68.15116839562234,100.0,78.95509147644043,6.886515045166609,0.012491317022410737,0
08M_1,8,1,6676.0,99.64233666760296,80.67865042795768,86.37337478358104,86.3333969116211,68.1300448600817,68.15116839562234,100.0,79.72127723693848,3.0403381347658205,0.7611521766299475,0
08M_1,8,1,6684.0,99.6869825942861,57.09148538307337,73.17420181701017,70.58954620361328,68.1300448600817,68.15116839562234,100.0,78.3137903213501,-3.8389572143563018,0.22819219316738446,1
08M_1,8,1,6692.0,99.72605551812316,67.2724309524731,71.46096277614517,69.02790069580078,68.1300448600817,68.15116839562234,100.0,76.03985786437988,-6.284819030761588,0.4085362752279157,2
08M_1,8,1,6700.0,99.76025109856236,46.501527027195856,45.10223062690142,34.83295440673828,68.1300448600817,68.15116839562234,100.0,71.270094871521,-15.60629730224923,-3.3520294371103376,3
08M_1,8,1,6708.0,99.7901781581919,75.49149936216335,72.22059378314404,71.94361877441406,68.1300448600817,68.15116839562234,100.0,72.2307481765747,-3.0132728576654686,-4.047156288510221,0
08M_1,8,1,6716.0,99.81636952229712,91.11712611974318,80.44860345461449,83.70616149902344,68.1300448600817,68.15116839562234,100.0,73.13545989990234,8.114544677732638,-2.6368304661341533,0
08M_1,8,1,6724.0,99.83929150535133,82.35561714692452,90.43771032695098,90.20000457763672,68.1300448600817,68.15116839562234,100.0,73.92036628723145,17.786369323730515,-0.0592179071335923,0
08M_1,8,1,6732.0,99.85935221333992,27.51211723203696,36.73540119559833,30.20159149169922,68.1300448600817,68.15116839562234,100.0,67.10439682006836,-11.873223876953057,-2.544344039190542,1
08M_1,8,1,6740.0,99.87690880973264,85.61789814322752,76.69656538402661,87.25216674804688,68.1300448600817,68.15116839562234,100.0,67.21924304962158,-4.936039733886412,1.1948867979504285,0
08M_1,8,1,6748.0,99.89227387446876,66.32298589056145,83.38211097035396,88.19390106201172,68.1300448600817,68.15116839562234,100.0,69.41978740692139,5.10322647094295,3.3038788750058385,0
08M_1,8,1,6756.0,99.9057209691712,79.27687180212273,87.94652515442942,90.3740463256836,68.1300448600817,68.15116839562234,100.0,72.08805561065674,18.145909881592104,5.00807925633036,0
08M_1,8,1,6764.0,99.9174895076734,70.48536096299213,73.71409747905282,70.42326354980469,68.1300448600817,68.15116839562234,100.0,76.53684425354004,-4.830656433105424,0.877728598458492,1
